DateTime,Temperature,Cload_Cover,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun,Predicted Electricity Generated
5/9/2018 11:00,26.29599,0,646,79,283,72,155.2,38.5,66604.00781
5/9/2018 12:00,26.29599,0,739,83,332,76,173.3,42,72456.22656
5/9/2018 13:00,26.29599,0,764,84,340,77,167.2,41.3,57949.52344
5/9/2018 14:00,24.29999,0,717,82,305,76,149.5,36.5,53615.69531
5/9/2018 15:00,24.29999,0,603,77,227,71,135.4,28.7,47577.32813
5/9/2018 16:00,24.29999,0,431,66,109,58,124.2,18.8,27348.74023
7/9/2018 8:00,12.81,0,27,10,7,7,121,6.6,22890.68164
7/9/2018 9:00,12.81,0,193,38,27,27,130.2,17.1,46713.88672
7/9/2018 10:00,12.81,0,386,55,103,49,141.4,26.1,59489.23047
7/9/2018 11:00,15.73001,0,541,65,178,58,155.3,32.9,61849.47656
7/9/2018 12:00,15.73001,0,639,70,225,63,171.5,36.5,63744.85156
7/9/2018 13:00,15.73001,0,672,71,234,64,170.6,36.4,64613.77734
7/9/2018 14:00,14.07001,44,636,70,204,63,154.4,32.6,45692.92578
7/9/2018 15:00,14.07001,44,536,65,132,58,140.6,25.7,31064.83984
7/9/2018 16:00,14.07001,44,379,55,47,47,129.4,16.6,17127.55078
7/9/2018 17:00,8.5,32,186,38,33,33,120.3,6,-76.95722198
7/9/2018 18:00,8.5,32,23,9,8,8,112.5,0,1732.45166
7/10/2018 8:00,10.62701,64,27,10,7,7,120.5,6.7,14375.15918
7/10/2018 9:00,10.62701,64,195,37,26,26,130.1,17.2,33223.69141
7/10/2018 10:00,10.62701,64,389,54,104,47,141.3,26.2,39606.90625
7/10/2018 11:00,15.68799,0,545,63,179,57,155.3,33,61849.47656
7/10/2018 12:00,15.68799,0,643,68,226,61,171.5,36.6,64923.21094
7/10/2018 13:00,15.68799,0,676,69,236,62,170.6,36.5,65511.83203
7/10/2018 14:00,14.64099,0,641,67,206,61,154.4,32.7,59888.16406
7/10/2018 15:00,14.64099,0,541,63,134,56,140.5,25.8,47277.66016
7/10/2018 16:00,14.64099,0,384,53,46,46,129.4,16.7,24562.44922
7/10/2018 17:00,4.195007,0,189,37,32,32,120.3,6.1,2861.289307
7/10/2018 18:00,4.195007,0,24,9,8,8,112.5,0,4670.698242
